[bench] ============================================================
[bench] BiBo Benchmark — BIBO
[bench] ============================================================
[bench]   Device: cuda:0 (world_size=1)
[bench]   Batch: 16 x 1 accum
[bench]   Steps: 3000
[bench]   Optimizer: muon_adamw
[bench]   Scheduler: whd (WSD: 5% warmup → 60% hold → 35% cosine decay to 0)
[bench]   Precision: AMP bfloat16 (fp32 master weights)
[bench]   Muon NS coeffs: Polar-Express
[bench]   Deterministic: ON (seed=42, strict=False) — identical config => identical curve
[bench] ============================================================
[bench] Loading dataset...
[bench] Tokenizer vocab: 81920, safe: 81920
[bench] Building bibo model...
[bench] Params: 137.95M total, 71.89M active
[bench] MoE layers: 8, Dense: 2
[bench] Starting training from step 0...
[bench] 1148889 train, 60467 val samples
  step    780/3000 ( 26.0%) | loss=5.3535 | lr=3.00e-04 | tok=12.78M | tps=115333 | mfu=76.5%/gpu | mem=9.3G | 0.141s | grad=1.0306 | ETA=5.2m
  step    790/3000 ( 26.3%) | loss=5.2836 | lr=3.00e-04 | tok=12.94M | tps=115321 | mfu=76.5%/gpu | mem=9.3G | 0.141s | grad=1.1778 | ETA=5.2m
  step    800/3000 ( 26.7%) | loss=5.2506 | lr=3.00e-04 | tok=13.11M | tps=115276 | mfu=76.5%/gpu | mem=9.4G | 0.147s | grad=1.2461 | ETA=5.4m
  step    810/3000 ( 27.0%) | loss=4.8712 | lr=3.00e-04 | tok=13.27M | tps=114816 | mfu=76.2%/gpu | mem=9.3G | 0.142s | grad=1.1106 | ETA=5.2m
  step    820/3000 ( 27.3%) | loss=5.3138 | lr=3.00e-04 | tok=13.43M | tps=115907 | mfu=76.9%/gpu | mem=9.3G | 0.140s | grad=1.1721 | ETA=5.1m
  step    830/3000 ( 27.7%) | loss=5.2271 | lr=3.00e-04 | tok=13.60M | tps=114398 | mfu=75.9%/gpu | mem=9.3G | 0.142s | grad=1.1926 | ETA=5.1m
  step    840/3000 ( 28.0%) | loss=4.9717 | lr=3.00e-04 | tok=13.76M | tps=116136 | mfu=77.1%/gpu | mem=9.4G | 0.140s | grad=1.1231 | ETA=5.1m
  step    850/3000 ( 28.3%) | loss=4.9127 | lr=3.00e-04 | tok=13.93M | tps=116307 | mfu=77.2%/gpu | mem=9.3G | 0.139s | grad=1.2049 | ETA=5.0m
  step    860/3000 ( 28.7%) | loss=5.1317 | lr=3.00e-04 | tok=14.09M | tps=116180 | mfu=77.1%/gpu | mem=9.3G | 0.140s | grad=1.1668 | ETA=5.0m
  step    870/3000 ( 29.0%) | loss=4.9654 | lr=3.00e-04 | tok=14.25M | tps=116396 | mfu=77.2%/gpu | mem=9.3G | 0.141s | grad=1.0889 | ETA=5.0m
  step    880/3000 ( 29.3%) | loss=5.1887 | lr=3.00e-04 | tok=14.42M | tps=116533 | mfu=77.3%/gpu | mem=9.4G | 0.140s | grad=2.2278 | ETA=4.9m
