[bench] ============================================================
[bench] BiBo Benchmark — BIBO
[bench] ============================================================
[bench]   Device: cuda:0 (world_size=1)
[bench]   Batch: 16 x 1 accum
[bench]   Steps: 3000
[bench]   Optimizer: muon_adamw
[bench]   Scheduler: whd (WSD: 5% warmup → 60% hold → 35% cosine decay to 0)
[bench]   Precision: AMP bfloat16 (fp32 master weights)
[bench]   Muon NS coeffs: Polar-Express
[bench]   Deterministic: ON (seed=42, strict=False) — identical config => identical curve
[bench] ============================================================
[bench] Loading dataset...
[bench] Tokenizer vocab: 81920, safe: 81920
[bench] Building bibo model...
[bench] Params: 137.95M total, 71.89M active
[bench] MoE layers: 8, Dense: 2
[bench] Starting training from step 0...
[bench] 1148889 train, 60467 val samples
  step    710/3000 ( 23.7%) | loss=4.9979 | lr=3.00e-04 | tok=11.63M | tps=115742 | mfu=76.8%/gpu | mem=9.4G | 0.139s | grad=1.1825 | ETA=5.3m
  step    720/3000 ( 24.0%) | loss=5.0519 | lr=3.00e-04 | tok=11.80M | tps=116112 | mfu=77.0%/gpu | mem=9.4G | 0.140s | grad=1.0615 | ETA=5.3m
  step    730/3000 ( 24.3%) | loss=5.0660 | lr=3.00e-04 | tok=11.96M | tps=114998 | mfu=76.3%/gpu | mem=9.3G | 0.140s | grad=1.1386 | ETA=5.3m
  step    740/3000 ( 24.7%) | loss=5.4247 | lr=3.00e-04 | tok=12.12M | tps=115239 | mfu=76.5%/gpu | mem=9.3G | 0.139s | grad=1.0986 | ETA=5.2m
  step    750/3000 ( 25.0%) | loss=5.0655 | lr=3.00e-04 | tok=12.29M | tps=116280 | mfu=77.2%/gpu | mem=9.3G | 0.142s | grad=1.0476 | ETA=5.3m
    [VAL] loss=5.1499 ppl=172.42 bpb=1.1811
  step    760/3000 ( 25.3%) | loss=5.1363 | lr=3.00e-04 | tok=12.45M | tps=115613 | mfu=76.7%/gpu | mem=9.3G | 0.141s | grad=1.1737 | ETA=5.3m
  step    770/3000 ( 25.7%) | loss=5.1420 | lr=3.00e-04 | tok=12.62M | tps=113650 | mfu=75.4%/gpu | mem=9.3G | 0.142s | grad=1.0465 | ETA=5.3m
  step    780/3000 ( 26.0%) | loss=5.3670 | lr=3.00e-04 | tok=12.78M | tps=115229 | mfu=76.5%/gpu | mem=9.2G | 0.141s | grad=1.0119 | ETA=5.2m
  step    790/3000 ( 26.3%) | loss=5.2980 | lr=3.00e-04 | tok=12.94M | tps=115369 | mfu=76.6%/gpu | mem=9.3G | 0.141s | grad=1.2648 | ETA=5.2m
  step    800/3000 ( 26.7%) | loss=5.2569 | lr=3.00e-04 | tok=13.11M | tps=114870 | mfu=76.2%/gpu | mem=9.3G | 0.144s | grad=1.2590 | ETA=5.3m
